"CAUSABAS","capitulo_cid10","causabas_categoria"
"H54"," VII - Doenças do olho e anexos","Cegueira e visão subnormal"
"H55"," VII - Doenças do olho e anexos","Nistagmo e outros movimentos irregulares do olho"
"H57"," VII - Doenças do olho e anexos","Outros transtornos do olho e anexos"
"H58"," VII - Doenças do olho e anexos","Outros transtornos do olho e anexos em doenças classificadas em outra parte"
"H59"," VII - Doenças do olho e anexos","Transtornos do olho e anexos pós-procedimento não classificados em outra parte"
"H60"," VIII - Doenças do ouvido e da apófise mastóide","Otite externa"
"H61"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido externo"
"H62"," VIII - Doenças do ouvido e da apófise mastóide","Transtornos do ouvido externo em doenças classificadas em outra parte"
"H65"," VIII - Doenças do ouvido e da apófise mastóide","Otite média não-supurativa"
"H66"," VIII - Doenças do ouvido e da apófise mastóide","Otite média supurativa e as não especificadas"
"H67"," VIII - Doenças do ouvido e da apófise mastóide","Otite média em doenças classificadas em outra parte"
"H68"," VIII - Doenças do ouvido e da apófise mastóide","Salpingite e obstrução da trompa de Eustáquio"
"H69"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos da trompa de Eustáquio"
"H70"," VIII - Doenças do ouvido e da apófise mastóide","Mastoidite e afecções correlatas"
"H71"," VIII - Doenças do ouvido e da apófise mastóide","Colesteatoma do ouvido médio"
"H72"," VIII - Doenças do ouvido e da apófise mastóide","Perfuração da membrana do tímpano"
"H73"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos da membrana do tímpano"
"H74"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido médio e da mastóide"
"H75"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte"
"H80"," VIII - Doenças do ouvido e da apófise mastóide","Otosclerose"
"H81"," VIII - Doenças do ouvido e da apófise mastóide","Transtornos da função vestibular"
"H82"," VIII - Doenças do ouvido e da apófise mastóide","Síndromes vertiginosas em doenças classificadas em outra parte"
"H83"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido interno"
"H90"," VIII - Doenças do ouvido e da apófise mastóide","Perda de audição por transtorno de condução e/ou neuro-sensorial"
"H91"," VIII - Doenças do ouvido e da apófise mastóide","Outras perdas de audição"
"H92"," VIII - Doenças do ouvido e da apófise mastóide","Otalgia e secreção auditiva"
"H93"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido não classificados em outra parte"
"H94"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido em doenças classificadas em outra parte"
"H95"," VIII - Doenças do ouvido e da apófise mastóide","Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte"
"I00"," IX - Doenças do aparelho circulatório","Febre reumática sem menção de comprometimento do coração"
"I01"," IX - Doenças do aparelho circulatório","Febre reumática com comprometimento do coração"
"I02"," IX - Doenças do aparelho circulatório","Coréia reumática"
"I05"," IX - Doenças do aparelho circulatório","Doenças reumáticas da valva mitral"
"I06"," IX - Doenças do aparelho circulatório","Doenças reumáticas da valva aórtica"
"I07"," IX - Doenças do aparelho circulatório","Doenças reumáticas da valva tricúspide"
"I08"," IX - Doenças do aparelho circulatório","Doenças de múltiplas valvas"
"I09"," IX - Doenças do aparelho circulatório","Outras doenças reumáticas do coração"
"I10"," IX - Doenças do aparelho circulatório","Hipertensão essencial (primária)"
"I11"," IX - Doenças do aparelho circulatório","Doença cardíaca hipertensiva"
"I12"," IX - Doenças do aparelho circulatório","Doença renal hipertensiva"
"I13"," IX - Doenças do aparelho circulatório","Doença cardíaca e renal hipertensiva"
"I15"," IX - Doenças do aparelho circulatório","Hipertensão secundária"
"I20"," IX - Doenças do aparelho circulatório","Angina pectoris"
"I21"," IX - Doenças do aparelho circulatório","Infarto agudo do miocárdio"
"I22"," IX - Doenças do aparelho circulatório","Infarto do miocárdio recorrente"
"I23"," IX - Doenças do aparelho circulatório","Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio"
"I24"," IX - Doenças do aparelho circulatório","Outras doenças isquêmicas agudas do coração"
"I25"," IX - Doenças do aparelho circulatório","Doença isquêmica crônica do coração"
"I26"," IX - Doenças do aparelho circulatório","Embolia pulmonar"
"I27"," IX - Doenças do aparelho circulatório","Outras formas de doença cardíaca pulmonar"
"I28"," IX - Doenças do aparelho circulatório","Outras doenças dos vasos pulmonares"
"I30"," IX - Doenças do aparelho circulatório","Pericardite aguda"
"I31"," IX - Doenças do aparelho circulatório","Outras doenças do pericárdio"
"I32"," IX - Doenças do aparelho circulatório","Pericardite em doenças classificadas em outra parte"
"I33"," IX - Doenças do aparelho circulatório","Endocardite aguda e subaguda"
"I34"," IX - Doenças do aparelho circulatório","Transtornos não-reumáticos da valva mitral"
"I35"," IX - Doenças do aparelho circulatório","Transtornos não-reumáticos da valva aórtica"
"I36"," IX - Doenças do aparelho circulatório","Transtornos não-reumáticos da valva tricúspide"
"I37"," IX - Doenças do aparelho circulatório","Transtornos da valva pulmonar"
"I38"," IX - Doenças do aparelho circulatório","Endocardite de valva não especificada"
"I39"," IX - Doenças do aparelho circulatório","Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte"
"I40"," IX - Doenças do aparelho circulatório","Miocardite aguda"
"I41"," IX - Doenças do aparelho circulatório","Miocardite em doenças classificadas em outra parte"
"I42"," IX - Doenças do aparelho circulatório","Cardiomiopatias"
"I43"," IX - Doenças do aparelho circulatório","Cardiomiopatia em doenças classificadas em outra parte"
"I44"," IX - Doenças do aparelho circulatório","Bloqueio atrioventricular e do ramo esquerdo"
"I45"," IX - Doenças do aparelho circulatório","Outros transtornos de condução"
"I46"," IX - Doenças do aparelho circulatório","Parada cardíaca"
"I47"," IX - Doenças do aparelho circulatório","Taquicardia paroxística"
"I48"," IX - Doenças do aparelho circulatório","Flutter e fibrilação atrial"
"I49"," IX - Doenças do aparelho circulatório","Outras arritmias cardíacas"
"I50"," IX - Doenças do aparelho circulatório","Insuficiência cardíaca"
"I51"," IX - Doenças do aparelho circulatório","Complicações de cardiopatias e doenças cardíacas mal definidas"
"I52"," IX - Doenças do aparelho circulatório","Outras afecções cardíacas em doenças classificadas em outra parte"
"I60"," IX - Doenças do aparelho circulatório","Hemorragia subaracnóide"
"I61"," IX - Doenças do aparelho circulatório","Hemorragia intracerebral"
"I62"," IX - Doenças do aparelho circulatório","Outras hemorragias intracranianas não-traumáticas"
"I63"," IX - Doenças do aparelho circulatório","Infarto cerebral"
"I64"," IX - Doenças do aparelho circulatório","Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
"I65"," IX - Doenças do aparelho circulatório","Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral"
"I66"," IX - Doenças do aparelho circulatório","Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral"
"I67"," IX - Doenças do aparelho circulatório","Outras doenças cerebrovasculares"
"I68"," IX - Doenças do aparelho circulatório","Transtornos cerebrovasculares em doenças classificadas em outra parte"
"I69"," IX - Doenças do aparelho circulatório","Seqüelas de doenças cerebrovasculares"
"I70"," IX - Doenças do aparelho circulatório","Aterosclerose"
"I71"," IX - Doenças do aparelho circulatório","Aneurisma e dissecção da aorta"
"I72"," IX - Doenças do aparelho circulatório","Outros aneurismas"
"I73"," IX - Doenças do aparelho circulatório","Outras doenças vasculares periféricas"
"I74"," IX - Doenças do aparelho circulatório","Embolia e trombose arteriais"
"I77"," IX - Doenças do aparelho circulatório","Outras afecções das artérias e arteríolas"
"I78"," IX - Doenças do aparelho circulatório","Doenças dos capilares"
"I79"," IX - Doenças do aparelho circulatório","Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte"
"I80"," IX - Doenças do aparelho circulatório","Flebite e tromboflebite"
"I81"," IX - Doenças do aparelho circulatório","Trombose da veia porta"
"I82"," IX - Doenças do aparelho circulatório","Outra embolia e trombose venosas"
"I83"," IX - Doenças do aparelho circulatório","Varizes dos membros inferiores"
"I84"," IX - Doenças do aparelho circulatório","Hemorróidas"
"I85"," IX - Doenças do aparelho circulatório","Varizes esofagianas"
"I86"," IX - Doenças do aparelho circulatório","Varizes de outras localizações"
"I87"," IX - Doenças do aparelho circulatório","Outros transtornos das veias"
"I88"," IX - Doenças do aparelho circulatório","Linfadenite inespecífica"
"I89"," IX - Doenças do aparelho circulatório","Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos"
"I95"," IX - Doenças do aparelho circulatório","Hipotensão"
"I97"," IX - Doenças do aparelho circulatório","Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte"
"I98"," IX - Doenças do aparelho circulatório","Outros transtornos do aparelho circulatório em doenças classificadas em outra parte"
"I99"," IX - Doenças do aparelho circulatório","Outros transtornos do aparelho circulatório e os não especificados"
"J00"," X - Doenças do aparelho respiratório","Nasofaringite aguda [resfriado comum]"
"J01"," X - Doenças do aparelho respiratório","Sinusite aguda"
"J02"," X - Doenças do aparelho respiratório","Faringite aguda"
"J03"," X - Doenças do aparelho respiratório","Amigdalite aguda"
"J04"," X - Doenças do aparelho respiratório","Laringite e traqueíte agudas"
"J05"," X - Doenças do aparelho respiratório","Laringite obstrutiva aguda [crupe] e epiglotite"
"J06"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas"
"J09"," X - Doenças do aparelho respiratório","Influenza [gripe] devida a vírus identificado da gripe aviária"
"J10"," X - Doenças do aparelho respiratório","Influenza devida a outro vírus da influenza [gripe] identificado"
"J11"," X - Doenças do aparelho respiratório","Influenza [gripe] devida a vírus não identificado"
"J12"," X - Doenças do aparelho respiratório","Pneumonia viral não classificada em outra parte"
"J13"," X - Doenças do aparelho respiratório","Pneumonia devida a Streptococcus pneumoniae"
"J14"," X - Doenças do aparelho respiratório","Pneumonia devida a Haemophilus infuenzae"
"J15"," X - Doenças do aparelho respiratório","Pneumonia bacteriana não classificada em outra parte"
"J16"," X - Doenças do aparelho respiratório","Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte"
"J17"," X - Doenças do aparelho respiratório","Pneumonia em doenças classificadas em outra parte"
"J18"," X - Doenças do aparelho respiratório","Pneumonia por microorganismo não especificada"
"J20"," X - Doenças do aparelho respiratório","Bronquite aguda"
"J21"," X - Doenças do aparelho respiratório","Bronquiolite aguda"
"J22"," X - Doenças do aparelho respiratório","Infecções agudas não especificada das vias aéreas inferiores"
"J30"," X - Doenças do aparelho respiratório","Rinite alérgica e vasomotora"
"J31"," X - Doenças do aparelho respiratório","Rinite, nasofaringite e faringite crônicas"
"J32"," X - Doenças do aparelho respiratório","Sinusite crônica"
"J33"," X - Doenças do aparelho respiratório","Pólipo nasal"
"J34"," X - Doenças do aparelho respiratório","Outros transtornos do nariz e dos seios paranasais"
"J35"," X - Doenças do aparelho respiratório","Doenças crônicas das amígdalas e das adenóides"
"J36"," X - Doenças do aparelho respiratório","Abscesso periamigdaliano"
"J37"," X - Doenças do aparelho respiratório","Laringite e laringotraqueíte crônicas"
"J38"," X - Doenças do aparelho respiratório","Doenças das cordas vocais e da laringe não classificadas em outra parte"
"J39"," X - Doenças do aparelho respiratório","Outras doenças das vias aéreas superiores"
"J40"," X - Doenças do aparelho respiratório","Bronquite não especificada como aguda ou crônica"
"J41"," X - Doenças do aparelho respiratório","Bronquite crônica simples e a mucopurulenta"
"J42"," X - Doenças do aparelho respiratório","Bronquite crônica não especificada"
"J43"," X - Doenças do aparelho respiratório","Enfisema"
"J44"," X - Doenças do aparelho respiratório","Outras doenças pulmonares obstrutivas crônicas"
"J45"," X - Doenças do aparelho respiratório","Asma"
"J46"," X - Doenças do aparelho respiratório","Estado de mal asmático"
"J47"," X - Doenças do aparelho respiratório","Bronquectasia"
"J60"," X - Doenças do aparelho respiratório","Pneumoconiose dos mineiros de carvão"
"J61"," X - Doenças do aparelho respiratório","Pneumoconiose devida a amianto [asbesto] e outras fibras minerais"
"J62"," X - Doenças do aparelho respiratório","Pneumoconiose devida a poeira que contenham sílica"
"J63"," X - Doenças do aparelho respiratório","Pneumoconiose devida a outras poeiras inorgânicas"
"J64"," X - Doenças do aparelho respiratório","Pneumoconiose não especificada"
"J65"," X - Doenças do aparelho respiratório","Pneumoconiose associada com tuberculose"
"J66"," X - Doenças do aparelho respiratório","Doenças das vias aéreas devida a poeiras orgânicas específicas"
"J67"," X - Doenças do aparelho respiratório","Pneumonite de hipersensibilidade devida a poeiras orgânicas"
"J68"," X - Doenças do aparelho respiratório","Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores"
"J69"," X - Doenças do aparelho respiratório","Pneumonite devida a sólidos e líquidos"
"J70"," X - Doenças do aparelho respiratório","Afecções respiratórias devida a outros agentes externos"
"J80"," X - Doenças do aparelho respiratório","Síndrome do desconforto respiratório do adulto"
"J81"," X - Doenças do aparelho respiratório","Edema pulmonar, não especificado de outra forma"
"J82"," X - Doenças do aparelho respiratório","Eosinofilia pulmonar, não classificada em outra parte"
"J84"," X - Doenças do aparelho respiratório","Outras doenças pulmonares intersticiais"
"J85"," X - Doenças do aparelho respiratório","Abscesso do pulmão e do mediastino"
"J86"," X - Doenças do aparelho respiratório","Piotórax"
"J90"," X - Doenças do aparelho respiratório","Derrame pleural não classificado em outra parte"
"J91"," X - Doenças do aparelho respiratório","Derrame pleural em afecções classificadas em outra parte"
"J92"," X - Doenças do aparelho respiratório","Placas pleurais"
"J93"," X - Doenças do aparelho respiratório","Pneumotórax"
"J94"," X - Doenças do aparelho respiratório","Outras afecções pleurais"
"J95"," X - Doenças do aparelho respiratório","Afecções respiratórias pós-procedimentos não classificadas em outra parte"
"J96"," X - Doenças do aparelho respiratório","Insuficiência respiratória não classificada de outra parte"
"J98"," X - Doenças do aparelho respiratório","Outros transtornos respiratórios"
"J99"," X - Doenças do aparelho respiratório","Transtornos respiratórios em doenças classificadas em outra parte"
"K00"," XI - Doenças do aparelho digestivo","Distúrbios do desenvolvimento e da erupção dos dentes"
"K01"," XI - Doenças do aparelho digestivo","Dentes inclusos e impactados"
"K02"," XI - Doenças do aparelho digestivo","Cárie dentária"
"K03"," XI - Doenças do aparelho digestivo","Outras doenças dos tecidos dentários duros"
"K04"," XI - Doenças do aparelho digestivo","Doenças da polpa e dos tecidos periapicais"
"K05"," XI - Doenças do aparelho digestivo","Gengivite e doenças periodontais"
"K06"," XI - Doenças do aparelho digestivo","Outros transtornos da gengiva e do rebordo alveolar sem dentes"
"K07"," XI - Doenças do aparelho digestivo","Anomalias dentofaciais (inclusive a maloclusão)"
"K08"," XI - Doenças do aparelho digestivo","Outros transtornos dos dentes e de suas estruturas de sustentação"
"K09"," XI - Doenças do aparelho digestivo","Cistos da região bucal não classificados em outra parte"
"K10"," XI - Doenças do aparelho digestivo","Outras doenças dos maxilares"
"K11"," XI - Doenças do aparelho digestivo","Doenças das glândulas salivares"
"K12"," XI - Doenças do aparelho digestivo","Estomatite e lesões correlatas"
"K13"," XI - Doenças do aparelho digestivo","Outras doenças do lábio e da mucosa oral"
"K14"," XI - Doenças do aparelho digestivo","Doenças da língua"
"K20"," XI - Doenças do aparelho digestivo","Esofagite"
"K21"," XI - Doenças do aparelho digestivo","Doença de refluxo gastroesofágico"
"K22"," XI - Doenças do aparelho digestivo","Outras doenças do esôfago"
"K23"," XI - Doenças do aparelho digestivo","Transtornos do esôfago em doenças classificadas em outra parte"
"K25"," XI - Doenças do aparelho digestivo","Úlcera gástrica"
"K26"," XI - Doenças do aparelho digestivo","Úlcera duodenal"
"K27"," XI - Doenças do aparelho digestivo","Úlcera péptica de localização não especificada"
"K28"," XI - Doenças do aparelho digestivo","Úlcera gastrojejunal"
"K29"," XI - Doenças do aparelho digestivo","Gastrite e duodenite"
"K30"," XI - Doenças do aparelho digestivo","Dispepsia"
"K31"," XI - Doenças do aparelho digestivo","Outras doenças do estômago e do duodeno"
"K35"," XI - Doenças do aparelho digestivo","Apendicite aguda"
"K36"," XI - Doenças do aparelho digestivo","Outras formas de apendicite"
"K37"," XI - Doenças do aparelho digestivo","Apendicite, sem outras especificações"
"K38"," XI - Doenças do aparelho digestivo","Outras doenças do apêndice"
"K40"," XI - Doenças do aparelho digestivo","Hérnia inguinal"
"K41"," XI - Doenças do aparelho digestivo","Hérnia femoral"
"K42"," XI - Doenças do aparelho digestivo","Hérnia umbilical"
"K43"," XI - Doenças do aparelho digestivo","Hérnia ventral"
"K44"," XI - Doenças do aparelho digestivo","Hérnia diafragmática"
"K45"," XI - Doenças do aparelho digestivo","Outras hérnias abdominais"
"K46"," XI - Doenças do aparelho digestivo","Hérnia abdominal não especificada"
"K50"," XI - Doenças do aparelho digestivo","Doença de Crohn [enterite regional]"
"K51"," XI - Doenças do aparelho digestivo","Colite ulcerativa"
"K52"," XI - Doenças do aparelho digestivo","Outras gastroenterites e colites não-infecciosas"
"K55"," XI - Doenças do aparelho digestivo","Transtornos vasculares do intestino"
"K56"," XI - Doenças do aparelho digestivo","Íleo paralítico e obstrução intestinal sem hérnia"
"K57"," XI - Doenças do aparelho digestivo","Doença diverticular do intestino"
"K58"," XI - Doenças do aparelho digestivo","Síndrome do cólon irritável"
"K59"," XI - Doenças do aparelho digestivo","Outros transtornos funcionais do intestino"
"K60"," XI - Doenças do aparelho digestivo","Fissura e fístula das regiões anal e retal"
"K61"," XI - Doenças do aparelho digestivo","Abscesso das regiões anal e retal"
"K62"," XI - Doenças do aparelho digestivo","Outras doenças do reto e do ânus"
"K63"," XI - Doenças do aparelho digestivo","Outras doenças do intestino"
"K65"," XI - Doenças do aparelho digestivo","Peritonite"
"K66"," XI - Doenças do aparelho digestivo","Outros transtornos do peritônio"
"K67"," XI - Doenças do aparelho digestivo","Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte"
"K70"," XI - Doenças do aparelho digestivo","Doença alcoólica do fígado"
"K71"," XI - Doenças do aparelho digestivo","Doença hepática tóxica"
"K72"," XI - Doenças do aparelho digestivo","Insuficiência hepática não classificada em outra parte"
"K73"," XI - Doenças do aparelho digestivo","Hepatite crônica não classificada em outra parte"
"K74"," XI - Doenças do aparelho digestivo","Fibrose e cirrose hepáticas"
"K75"," XI - Doenças do aparelho digestivo","Outras doenças inflamatórias do fígado"
"K76"," XI - Doenças do aparelho digestivo","Outras doenças do fígado"
"K77"," XI - Doenças do aparelho digestivo","Transtornos do fígado em doenças classificadas em outra parte"
"K80"," XI - Doenças do aparelho digestivo","Colelitíase"
"K81"," XI - Doenças do aparelho digestivo","Colecistite"
"K82"," XI - Doenças do aparelho digestivo","Outras doenças da vesícula biliar"
"K83"," XI - Doenças do aparelho digestivo","Outras doenças das vias biliares"
"K85"," XI - Doenças do aparelho digestivo","Pancreatite aguda"
"K86"," XI - Doenças do aparelho digestivo","Outras doenças do pâncreas"
"K87"," XI - Doenças do aparelho digestivo","Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte"
"K90"," XI - Doenças do aparelho digestivo","Má-absorção intestinal"
"K91"," XI - Doenças do aparelho digestivo","Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte"
"K92"," XI - Doenças do aparelho digestivo","Outras doenças do aparelho digestivo"
"K93"," XI - Doenças do aparelho digestivo","Transtornos de outros órgãos digestivos em doenças classificadas em outra parte"
"L00"," XII - Doenças da pele e do tecido subcutâneo","Síndrome da pele escaldada estafilocócica do recém-nascido"
"L01"," XII - Doenças da pele e do tecido subcutâneo","Impetigo"
"L02"," XII - Doenças da pele e do tecido subcutâneo","Abscesso cutâneo, furúnculo e antraz"
"L03"," XII - Doenças da pele e do tecido subcutâneo","Celulite (Flegmão)"
"L04"," XII - Doenças da pele e do tecido subcutâneo","Linfadenite aguda"
"L05"," XII - Doenças da pele e do tecido subcutâneo","Cisto pilonidal"
"L08"," XII - Doenças da pele e do tecido subcutâneo","Outras infecções localizadas da pele e do tecido subcutâneo"
"L10"," XII - Doenças da pele e do tecido subcutâneo","Pênfigo"
"L11"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções acantolíticas"
"L12"," XII - Doenças da pele e do tecido subcutâneo","Penfigóide"
"L13"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções bolhosas"
"L14"," XII - Doenças da pele e do tecido subcutâneo","Afecções bolhosas em doenças classificadas em outra parte"
"L20"," XII - Doenças da pele e do tecido subcutâneo","Dermatite atópica"
"L21"," XII - Doenças da pele e do tecido subcutâneo","Dermatite seborréica"
"L22"," XII - Doenças da pele e do tecido subcutâneo","Dermatite das fraldas"
"L23"," XII - Doenças da pele e do tecido subcutâneo","Dermatites alérgicas de contato"
"L24"," XII - Doenças da pele e do tecido subcutâneo","Dermatites de contato por irritantes"
"L25"," XII - Doenças da pele e do tecido subcutâneo","Dermatite de contato não especificada"
"L26"," XII - Doenças da pele e do tecido subcutâneo","Dermatite esfoliativa"
"L27"," XII - Doenças da pele e do tecido subcutâneo","Dermatite devida a substâncias de uso interno"
"L28"," XII - Doenças da pele e do tecido subcutâneo","Líquen simples crônico e prurigo"
"L29"," XII - Doenças da pele e do tecido subcutâneo","Prurido"
"L30"," XII - Doenças da pele e do tecido subcutâneo","Outras dermatites"
"L40"," XII - Doenças da pele e do tecido subcutâneo","Psoríase"
"L41"," XII - Doenças da pele e do tecido subcutâneo","Parapsoríase"
"L42"," XII - Doenças da pele e do tecido subcutâneo","Pitiríase rósea"
"L43"," XII - Doenças da pele e do tecido subcutâneo","Líquen plano"
"L44"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções pápulo-descamativas"
"L45"," XII - Doenças da pele e do tecido subcutâneo","Afecções pápulo-descamativas em doenças classificadas em outra parte"
"L50"," XII - Doenças da pele e do tecido subcutâneo","Urticária"
"L51"," XII - Doenças da pele e do tecido subcutâneo","Eritema polimorfo (eritema multiforme)"
"L52"," XII - Doenças da pele e do tecido subcutâneo","Eritema nodoso"
"L53"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções eritematosas"
"L54"," XII - Doenças da pele e do tecido subcutâneo","Eritema em doenças classificadas em outra parte"
"L55"," XII - Doenças da pele e do tecido subcutâneo","Queimadura solar"
"L56"," XII - Doenças da pele e do tecido subcutâneo","Outras alterações agudas da pele devidas a radiação ultravioleta"
"L57"," XII - Doenças da pele e do tecido subcutâneo","Alterações da pele devidas à exposição crônica à radiação não ionizante"
"L58"," XII - Doenças da pele e do tecido subcutâneo","Radiodermatite"
"L59"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação"
"L60"," XII - Doenças da pele e do tecido subcutâneo","Afecções das unhas"
"L62"," XII - Doenças da pele e do tecido subcutâneo","Afecções das unhas em doenças classificadas em outra parte"
"L63"," XII - Doenças da pele e do tecido subcutâneo","Alopécia areata"
"L64"," XII - Doenças da pele e do tecido subcutâneo","Alopécia androgênica"
"L65"," XII - Doenças da pele e do tecido subcutâneo","Outras formas não cicatriciais da perda de cabelos ou pêlos"
"L66"," XII - Doenças da pele e do tecido subcutâneo","Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]"
"L67"," XII - Doenças da pele e do tecido subcutâneo","Anormalidades da cor e do pedículo dos cabelos e dos pêlos"
"L68"," XII - Doenças da pele e do tecido subcutâneo","Hipertricose"
"L70"," XII - Doenças da pele e do tecido subcutâneo","Acne"
"L71"," XII - Doenças da pele e do tecido subcutâneo","Rosácea"
"L72"," XII - Doenças da pele e do tecido subcutâneo","Cistos foliculares da pele e do tecido subcutâneo"
"L73"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções foliculares"
"L74"," XII - Doenças da pele e do tecido subcutâneo","Afecções das glândulas sudoríparas écrinas"
"L75"," XII - Doenças da pele e do tecido subcutâneo","Afecções das glândulas sudoríparas apócrinas"
"L80"," XII - Doenças da pele e do tecido subcutâneo","Vitiligo"
"L81"," XII - Doenças da pele e do tecido subcutâneo","Outros transtornos da pigmentação"
"L82"," XII - Doenças da pele e do tecido subcutâneo","Ceratose seborréica"
"L83"," XII - Doenças da pele e do tecido subcutâneo","Acantose nigricans"
"L84"," XII - Doenças da pele e do tecido subcutâneo","Calos e calosidades"
"L85"," XII - Doenças da pele e do tecido subcutâneo","Outras formas de espessamento epidérmico"
"L86"," XII - Doenças da pele e do tecido subcutâneo","Ceratodermia em doenças classificadas em outra parte"
"L87"," XII - Doenças da pele e do tecido subcutâneo","Transtornos da eliminação transepidérmica"
"L88"," XII - Doenças da pele e do tecido subcutâneo","Piodermite gangrenosa"
"L89"," XII - Doenças da pele e do tecido subcutâneo","Úlcera de decúbito"
"L90"," XII - Doenças da pele e do tecido subcutâneo","Afecções atróficas da pele"
"L91"," XII - Doenças da pele e do tecido subcutâneo","Afecções hipertróficas da pele"
"L92"," XII - Doenças da pele e do tecido subcutâneo","Afecções granulomatosas da pele e do tecido subcutâneo"
"L93"," XII - Doenças da pele e do tecido subcutâneo","Lúpus eritematoso"
"L94"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções localizadas do tecido conjuntivo"
"L95"," XII - Doenças da pele e do tecido subcutâneo","Vasculite limitada a pele não classificadas em outra parte"
"L97"," XII - Doenças da pele e do tecido subcutâneo","Úlcera dos membros inferiores não classificada em outra parte"
"L98"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte"
"L99"," XII - Doenças da pele e do tecido subcutâneo","Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte"
"M00"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artrite piogênica"
"M01"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte"
"M02"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artropatias reacionais"
"M03"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte"
"M05"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artrite reumatóide soro-positiva"
"M06"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Outras artrites reumatóides"
"M07"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artropatias psoriásicas e enteropáticas"
"M08"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artrite juvenil"
"M09"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artrite juvenil em doenças classificadas em outra parte"
"M10"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Gota"
"M11"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Outras artropatias por deposição de cristais"
"M12"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Outras artropatias especificadas"
"M13"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Outras artrites"
"M14"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artropatias em outras doenças classificadas em outra parte"
"M15"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Poliartrose"
"M16"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Coxartrose [artrose do quadril]"
"M17"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Gonartrose [artrose do joelho]"
"M18"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Artrose da primeira articulação carpometacarpiana"
"M19"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Outras artroses"
"M20"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Deformidades adquiridas dos dedos das mãos e dos pés"
"M21"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Outras deformidades adquiridas dos membros"
"M22"," XIII - Doenças do sistema osteomuscular e do tecido conjuntivo","Transtornos da rótula [patela]"
